M1;EURUSD-OTC;17:45;CALL
M1;EURUSD-OTC;17:46;CALL
M1;EURUSD-OTC;17:48;CALL
M1;EURUSD-OTC;17:48;CALL
M1;EURUSD-OTC;17:49;CALL
M1;EURUSD-OTC;17:50;CALL
M1;EURUSD-OTC;17:51;CALL
M1;EURUSD-OTC;17:52;CALL
M1;EURUSD-OTC;17:53;CALL
M1;EURUSD-OTC;17:54;CALL
M1;EURUSD-OTC;17:55;CALL
M1;EURUSD-OTC;17:56;CALL
M1;EURUSD-OTC;17:58;CALL
M1;EURUSD-OTC;17:58;CALL
M1;EURUSD-OTC;17:59;CALL
M1;EURUSD-OTC;18:00;CALL
M1;EURUSD-OTC;18:01;CALL
M1;EURUSD-OTC;18:02;CALL
M1;EURUSD-OTC;18:03;CALL
M1;EURUSD-OTC;18:04;CALL
M1;EURUSD-OTC;18:05;CALL
M1;EURUSD-OTC;18:06;CALL
M1;EURUSD-OTC;18:07;CALL
M1;EURUSD-OTC;18:08;CALL
M1;EURUSD-OTC;18:09;CALL
M1;EURUSD-OTC;18:10;CALL
M1;EURUSD-OTC;18:11;CALL
M1;EURUSD-OTC;18:12;CALL
M1;EURUSD-OTC;18:13;CALL
M1;EURUSD-OTC;18:14;CALL
M1;EURUSD-OTC;18:15;CALL
M1;EURUSD-OTC;18:16;CALL
M1;EURUSD-OTC;18:17;CALL
M1;EURUSD-OTC;18:18;CALL
M1;EURUSD-OTC;18:19;CALL
M1;EURUSD-OTC;18:20;CALL
M1;EURUSD-OTC;18:21;CALL
M1;EURUSD-OTC;18:22;CALL
M1;EURUSD-OTC;18:23;CALL
M1;EURUSD-OTC;18:24;CALL
M1;EURUSD-OTC;18:25;CALL
M1;EURUSD-OTC;18:26;CALL
M1;EURUSD-OTC;18:27;CALL
M1;EURUSD-OTC;18:28;CALL
M1;EURUSD-OTC;18:29;CALL
M1;EURUSD-OTC;18:30;CALL
M1;EURUSD-OTC;18:31;CALL
M1;EURUSD-OTC;18:32;CALL
M1;EURUSD-OTC;18:33;CALL
M1;EURUSD-OTC;18:34;CALL
M1;EURUSD-OTC;18:35;CALL
M1;EURUSD-OTC;18:36;CALL
M1;EURUSD-OTC;18:37;CALL
M1;EURUSD-OTC;18:38;CALL
M1;EURUSD-OTC;18:39;CALL
M1;EURUSD-OTC;18:40;CALL
M1;EURUSD-OTC;18:41;CALL
M1;EURUSD-OTC;18:42;CALL
M1;EURUSD-OTC;18:43;CALL
M1;EURUSD-OTC;18:44;CALL
M1;EURUSD-OTC;18:45;CALL
M1;EURUSD-OTC;18:46;CALL
M1;EURUSD-OTC;18:47;CALL
M1;EURUSD-OTC;18:48;CALL
M1;EURUSD-OTC;18:49;CALL
M1;EURUSD-OTC;18:50;CALL
M1;EURUSD-OTC;18:51;CALL
M1;EURUSD-OTC;18:52;CALL
M1;EURUSD-OTC;18:53;CALL
M1;EURUSD-OTC;18:54;CALL
M1;EURUSD-OTC;18:55;CALL
M1;EURUSD-OTC;18:56;CALL
M1;EURUSD-OTC;18:57;CALL
M1;EURUSD-OTC;18:58;CALL
M1;EURUSD-OTC;18:59;CALL
M1;EURUSD-OTC;19:00;CALL
M1;EURUSD-OTC;19:01;CALL
M1;EURUSD-OTC;19:02;CALL
M1;EURUSD-OTC;19:03;CALL
M1;EURUSD-OTC;19:04;CALL
M1;EURUSD-OTC;19:05;CALL
M1;EURUSD-OTC;19:06;CALL
M1;EURUSD-OTC;19:07;CALL
M1;EURUSD-OTC;19:08;CALL
M1;EURUSD-OTC;19:09;CALL
M1;EURUSD-OTC;19:10;CALL
M1;EURUSD-OTC;19:11;CALL
M1;EURUSD-OTC;19:12;CALL
M1;EURUSD-OTC;19:13;CALL
M1;EURUSD-OTC;19:14;CALL
M1;EURUSD-OTC;19:15;CALL
M1;EURUSD-OTC;19:16;CALL
M1;EURUSD-OTC;19:18;CALL
M1;EURUSD-OTC;19:18;CALL
M1;EURUSD-OTC;19:19;CALL
M1;EURUSD-OTC;19:20;CALL
M1;EURUSD-OTC;19:21;CALL
M1;EURUSD-OTC;19:22;CALL
M1;EURUSD-OTC;19:23;CALL
M1;EURUSD-OTC;19:24;CALL
M1;EURUSD-OTC;19:25;CALL
M1;EURUSD-OTC;19:26;CALL
M1;EURUSD-OTC;19:28;CALL
M1;EURUSD-OTC;19:28;CALL
M1;EURUSD-OTC;19:29;CALL
M1;EURUSD-OTC;19:30;CALL
M1;EURUSD-OTC;19:31;CALL
M1;EURUSD-OTC;19:32;CALL
M1;EURUSD-OTC;19:33;CALL
M1;EURUSD-OTC;19:34;CALL
M1;EURUSD-OTC;19:35;CALL
M1;EURUSD-OTC;19:36;CALL
M1;EURUSD-OTC;19:38;CALL
M1;EURUSD-OTC;19:38;CALL
M1;EURUSD-OTC;19:39;CALL
M1;EURUSD-OTC;19:40;CALL
M1;EURUSD-OTC;19:41;CALL
M1;EURUSD-OTC;19:42;CALL
M1;EURUSD-OTC;19:43;CALL
M1;EURUSD-OTC;19:44;CALL
M1;EURUSD-OTC;19:45;CALL
M1;EURUSD-OTC;19:46;CALL
M1;EURUSD-OTC;19:48;CALL
M1;EURUSD-OTC;19:48;CALL
M1;EURUSD-OTC;19:49;CALL
M1;EURUSD-OTC;19:50;CALL
M1;EURUSD-OTC;19:51;CALL
M1;EURUSD-OTC;19:52;CALL
M1;EURUSD-OTC;19:53;CALL
M1;EURUSD-OTC;19:54;CALL
M1;EURUSD-OTC;19:55;CALL
M1;EURUSD-OTC;19:56;CALL
M1;EURUSD-OTC;19:58;CALL
M1;EURUSD-OTC;19:58;CALL
M1;EURUSD-OTC;19:59;CALL